ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2024-03-27,1937.9524724859693,1944.412071470253,2260.0668537078864,1937.9524724859693,1937.9524724859693,172.71601274860802,172.71601274860802,172.71601274860802,-92.34954378091105,-92.34954378091105,-92.34954378091105,265.0655565295191,265.0655565295191,265.0655565295191,0.0,0.0,0.0,2110.6684852345775,2190.60009765625
2024-03-28,1948.6362025354456,1958.5213393974245,2273.978492870454,1948.6362025354456,1948.6362025354456,160.33816743493946,160.33816743493946,160.33816743493946,-100.17043951694133,-100.17043951694133,-100.17043951694133,260.5086069518808,260.5086069518808,260.5086069518808,0.0,0.0,0.0,2108.974369970385,2217.39990234375
2024-04-01,1991.3711227333495,1990.1370386059052,2302.39063615224,1991.3711227333495,1991.3711227333495,159.00391584282426,159.00391584282426,159.00391584282426,-101.64199718306892,-101.64199718306892,-101.64199718306892,260.6459130258932,260.6459130258932,260.6459130258932,0.0,0.0,0.0,2150.3750385761737,2236.5
2024-04-02,2002.0548527828257,2019.6081428862317,2315.010123604383,2002.0548527828257,2002.0548527828257,164.6435375335204,164.6435375335204,164.6435375335204,-100.03907316542256,-100.03907316542256,-100.03907316542256,264.682610698943,264.682610698943,264.682610698943,0.0,0.0,0.0,2166.698390316346,2261.0
2024-04-03,2012.7385828323017,2038.9374928209045,2348.262036848553,2012.7385828323017,2012.7385828323017,177.6249830133695,177.6249830133695,177.6249830133695,-92.34954378091223,-92.34954378091223,-92.34954378091223,269.9745267942817,269.9745267942817,269.9745267942817,0.0,0.0,0.0,2190.3635658456715,2294.39990234375
2024-04-04,2023.4223128817775,2052.581411389726,2339.7335866055323,2023.4223128817775,2023.4223128817775,176.13412374691669,176.13412374691669,176.13412374691669,-100.17043951690849,-100.17043951690849,-100.17043951690849,276.3045632638252,276.3045632638252,276.3045632638252,0.0,0.0,0.0,2199.5564366286944,2288.800048828125
2024-04-05,2034.1060429312538,2069.4868665905387,2371.851059737115,2034.1060429312538,2034.1060429312538,182.85696560656316,182.85696560656316,182.85696560656316,-100.58092051823445,-100.58092051823445,-100.58092051823445,283.4378861247976,283.4378861247976,283.4378861247976,0.0,0.0,0.0,2216.963008537817,2325.699951171875
2024-04-08,2066.157233079682,2118.7145788987855,2434.253856406869,2066.157233079682,2066.157233079682,205.51388372093103,205.51388372093103,205.51388372093103,-101.6419971835492,-101.6419971835492,-101.6419971835492,307.1558809044802,307.1558809044802,307.1558809044802,0.0,0.0,0.0,2271.671116800613,2331.699951171875
2024-04-09,2074.2342180176506,2144.8165145062712,2445.9898107151325,2074.2342180176506,2074.2342180176506,214.9492712178841,214.9492712178841,214.9492712178841,-100.03907316532059,-100.03907316532059,-100.03907316532059,314.98834438320466,314.98834438320466,314.98834438320466,0.0,0.0,0.0,2289.1834892355346,2343.5
2024-04-10,2082.3112029556196,2166.1559130213345,2460.8379195925863,2082.3112029556196,2082.3112029556196,230.02445245493004,230.02445245493004,230.02445245493004,-92.34954378091003,-92.34954378091003,-92.34954378091003,322.3739962358401,322.3739962358401,322.3739962358401,0.0,0.0,0.0,2312.3356554105494,2329.60009765625
2024-04-11,2090.388187893588,2162.9504509116027,2467.628169725669,2090.388187893588,2090.388187893588,228.91515517230695,228.91515517230695,228.91515517230695,-100.17043951687565,-100.17043951687565,-100.17043951687565,329.0855946891826,329.0855946891826,329.0855946891826,0.0,0.0,0.0,2319.303343065895,2354.800048828125
2024-04-12,2098.465172831557,2173.805997011224,2490.1346189205137,2098.465172831557,2098.465172831557,234.3341179697116,234.3341179697116,234.3341179697116,-100.580920517993,-100.580920517993,-100.580920517993,334.9150384877045,334.9150384877045,334.9150384877045,0.0,0.0,0.0,2332.799290801269,2356.199951171875
2024-04-15,2122.6961276454635,2212.5502471440805,2514.685726148492,2122.6961276454635,2122.6961276454635,243.7552198803737,243.7552198803737,243.7552198803737,-101.64199718355016,-101.64199718355016,-101.64199718355016,345.39721706392385,345.39721706392385,345.39721706392385,0.0,0.0,0.0,2366.4513475258373,2365.800048828125
2024-04-16,2130.7731125834325,2236.7451211057646,2525.976499017024,2130.7731125834325,2130.7731125834325,246.08905748153535,246.08905748153535,246.08905748153535,-100.0390731652186,-100.0390731652186,-100.0390731652186,346.12813064675396,346.12813064675396,346.12813064675396,0.0,0.0,0.0,2376.862170064968,2390.800048828125
2024-04-17,2138.850097521401,2231.729033445078,2534.6192401746034,2138.850097521401,2138.850097521401,252.99263298647188,252.99263298647188,252.99263298647188,-92.3495437809115,-92.3495437809115,-92.3495437809115,345.34217676738336,345.34217676738336,345.34217676738336,0.0,0.0,0.0,2391.842730507873,2371.699951171875
2024-04-18,2146.92708245937,2230.3902189623254,2543.33716745678,2146.92708245937,2146.92708245937,242.8368742244913,242.8368742244913,242.8368742244913,-100.17043951697806,-100.17043951697806,-100.17043951697806,343.0073137414694,343.0073137414694,343.0073137414694,0.0,0.0,0.0,2389.763956683861,2382.300048828125
2024-04-19,2155.004067397339,2246.673416515339,2548.3740505210803,2155.004067397339,2155.004067397339,238.54319050138326,238.54319050138326,238.54319050138326,-100.58092051877813,-100.58092051877813,-100.58092051877813,339.1241110201614,339.1241110201614,339.1241110201614,0.0,0.0,0.0,2393.5472578987224,2398.39990234375
2024-04-22,2179.2350222112455,2242.0372690489553,2562.1532942070507,2179.2350222112455,2179.2350222112455,217.0088454124984,217.0088454124984,217.0088454124984,-101.64199718355115,-101.64199718355115,-101.64199718355115,318.6508425960496,318.6508425960496,318.6508425960496,0.0,0.0,0.0,2396.243867623744,2332.199951171875
2024-04-23,2187.3120071492144,2237.44925351058,2550.2960156869135,2187.3120071492144,2187.3120071492144,209.13936835950776,209.13936835950776,209.13936835950776,-100.03907316524855,-100.03907316524855,-100.03907316524855,309.1784415247563,309.1784415247563,309.1784415247563,0.0,0.0,0.0,2396.4513755087223,2327.699951171875
2024-04-24,2195.388992087183,2240.3784181112133,2558.3043961430867,2195.388992087183,2195.388992087183,206.23743145849514,206.23743145849514,206.23743145849514,-92.3495437809111,-92.3495437809111,-92.3495437809111,298.58697523940623,298.58697523940623,298.58697523940623,0.0,0.0,0.0,2401.626423545678,2324.5
2024-04-25,2203.465977025152,2238.4888916612135,2559.251749494954,2203.465977025152,2203.465977025152,186.85629219762637,186.85629219762637,186.85629219762637,-100.17043951655067,-100.17043951655067,-100.17043951655067,287.02673171417706,287.02673171417706,287.02673171417706,0.0,0.0,0.0,2390.3222692227782,2329.800048828125
2024-04-26,2211.5429619631204,2223.5822067445365,2544.844945947806,2211.5429619631204,2211.5429619631204,174.07958394655404,174.07958394655404,174.07958394655404,-100.58092051877857,-100.58092051877857,-100.58092051877857,274.6605044653326,274.6605044653326,274.6605044653326,0.0,0.0,0.0,2385.6225459096745,2334.800048828125
2024-04-29,2235.773916777027,2212.680094179137,2524.846928983289,2235.773916777027,2235.773916777027,132.80818478822437,132.80818478822437,132.80818478822437,-101.64199718300661,-101.64199718300661,-101.64199718300661,234.450181971231,234.450181971231,234.450181971231,0.0,0.0,0.0,2368.5821015652514,2345.39990234375
2024-04-30,2243.850901714996,2221.094791906974,2528.5430678241923,2243.850901714996,2243.850901714996,120.54708078566986,120.54708078566986,120.54708078566986,-100.03907316554286,-100.03907316554286,-100.03907316554286,220.5861539512127,220.5861539512127,220.5861539512127,0.0,0.0,0.0,2364.397982500666,2291.39990234375
2024-05-01,2251.927886652965,2217.418343392984,2518.70840355562,2251.927886652965,2251.927886652965,114.41715877371053,114.41715877371053,114.41715877371053,-92.34954378091076,-92.34954378091076,-92.34954378091076,206.76670255462128,206.76670255462128,206.76670255462128,0.0,0.0,0.0,2366.3450454266754,2299.89990234375
2024-05-02,2260.00486903944,2187.118231852988,2506.605037106388,2260.00486903944,2260.00486903944,92.97041704722926,92.97041704722926,92.97041704722926,-100.1704395167884,-100.1704395167884,-100.1704395167884,193.14085656401767,193.14085656401767,193.14085656401767,0.0,0.0,0.0,2352.9752860866693,2299.199951171875
2024-05-03,2268.081851425915,2199.1928768458315,2495.8981585910237,2268.081851425915,2268.081851425915,79.26165108932791,79.26165108932791,79.26165108932791,-100.58092051829514,-100.58092051829514,-100.58092051829514,179.84257160762306,179.84257160762306,179.84257160762306,0.0,0.0,0.0,2347.343502515243,2299.0
2024-05-06,2292.3127985853407,2168.1250022793,2489.7334477667614,2292.3127985853407,2292.3127985853407,41.334953375995205,41.334953375995205,41.334953375995205,-101.6419971830076,-101.6419971830076,-101.6419971830076,142.9769505590028,142.9769505590028,142.9769505590028,0.0,0.0,0.0,2333.647751961336,2321.60009765625
2024-05-07,2300.389780971816,2191.2221673048884,2479.2645163248962,2300.389780971816,2300.389780971816,31.91061398115374,31.91061398115374,31.91061398115374,-100.03907316557279,-100.03907316557279,-100.03907316557279,131.94968714672655,131.94968714672655,131.94968714672655,0.0,0.0,0.0,2332.30039495297,2315.199951171875
2024-05-08,2308.4667633582912,2190.8917846770064,2491.004111859766,2308.4667633582912,2308.4667633582912,29.274930426621545,29.274930426621545,29.274930426621545,-92.3495437809104,-92.3495437809104,-92.3495437809104,121.62447420753192,121.62447420753192,121.62447420753192,0.0,0.0,0.0,2337.741693784913,2313.60009765625
2024-05-09,2316.5437457447665,2184.394121318346,2488.2106465556863,2316.5437457447665,2316.5437457447665,11.841091706712259,11.841091706712259,11.841091706712259,-100.17043951675554,-100.17043951675554,-100.17043951675554,112.0115312234678,112.0115312234678,112.0115312234678,0.0,0.0,0.0,2328.3848374514787,2332.10009765625
2024-05-10,2324.620728131242,2189.260775101987,2489.8944670305036,2324.620728131242,2324.620728131242,2.5194590679099793,2.5194590679099793,2.5194590679099793,-100.58092051829563,-100.58092051829563,-100.58092051829563,103.1003795862056,103.1003795862056,103.1003795862056,0.0,0.0,0.0,2327.1401871991516,2367.300048828125
2024-05-13,2348.851675290667,2184.9708146369776,2484.458904117843,2348.851675290667,2348.851675290667,-21.446156837268422,-21.446156837268422,-21.446156837268422,-101.64199718348787,-101.64199718348787,-101.64199718348787,80.19584034621946,80.19584034621946,80.19584034621946,0.0,0.0,0.0,2327.4055184533986,2336.10009765625
2024-05-14,2356.928657677143,2178.6875220162237,2489.9318755758536,2356.928657677143,2356.928657677143,-26.406448888985803,-26.406448888985803,-26.406448888985803,-100.03907316533885,-100.03907316533885,-100.03907316533885,73.63262427635306,73.63262427635306,73.63262427635306,0.0,0.0,0.0,2330.522208788157,2353.39990234375
2024-05-15,2365.0056400636176,2189.9699523936247,2477.7562627328866,2365.0056400636176,2365.0056400636176,-24.876423280046797,-24.876423280046797,-24.876423280046797,-92.34954378091183,-92.34954378091183,-92.34954378091183,67.47312050086504,67.47312050086504,67.47312050086504,0.0,0.0,0.0,2340.129216783571,2388.699951171875
